Module,Count,Appears_In,Role,Need_Custom_Code,Risk
C3k2,46,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
Conv,46,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
Detect,45,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
SPPF,45,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
nn.Upsample,45,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
C2PSA,44,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
Concat,43,"yolo26-2D.yaml, yolo26-4D.yaml, yolo26-AConv.yaml, yolo26-ADown.yaml, yolo26-AKConv.yaml...",standard,no,low
Concat_bifpn,2,"yolo26-BiFPN.yaml, yolo26-BiFPN1.yaml",custom,yes,high
EMA_attention,2,"yolo26-BiFPN1.yaml, yolo26-EMA_attention.yaml",custom,yes,high
GhostConv,2,"yolo26-BiFPN1.yaml, yolo26-GhostConv.yaml",custom,yes,high
RFAConv,2,"yolo26-RepViT.yaml, yolo26-RFAConv.yaml",custom,yes,high
AConv,1,yolo26-AConv.yaml,custom,yes,high
ADown,1,yolo26-ADown.yaml,custom,yes,high
AKConv,1,yolo26-AKConv.yaml,custom,yes,high
BiLevelRoutingAttention,1,yolo26-BiForm.yaml,custom,yes,high
BoTNet,1,yolo26-BoTNet.yaml,custom,yes,high
C2f_DySnakeConv,1,yolo26-C2f_DySnakeConv.yaml,custom,yes,high
C2f_Faster,1,yolo26-C2f_Faster.yaml,custom,yes,high
C3_Faster,1,yolo26-C3_Faster.yaml,custom,yes,high
CARAFE,1,yolo26-CARAFE.yaml,custom,yes,high
CBAM,1,yolo26-CBAM.yaml,custom,yes,high
ContextAggregation,1,yolo26-ContextAggregation.yaml,custom,yes,high
DASI,1,yolo26-DASI.yaml,custom,yes,high
DSConv,1,yolo26-DSConv.yaml,custom,yes,high
DualConv,1,yolo26-DualConv.yaml,custom,yes,high
DWConv,1,yolo26-DWConv.yaml,custom,yes,high
FusedMBConv,1,yolo26-EfficientNetv2.yaml,custom,yes,high
MBConv,1,yolo26-EfficientNetv2.yaml,custom,yes,high
stem,1,yolo26-EfficientNetv2.yaml,custom,yes,high
AdvPoolFusion,1,yolo26-Glod.yaml,custom,yes,high
IFM,1,yolo26-Glod.yaml,custom,yes,high
InjectionMultiSum_Auto_pool,1,yolo26-Glod.yaml,custom,yes,high
PyramidPoolAgg,1,yolo26-Glod.yaml,custom,yes,high
SimFusion_3in,1,yolo26-Glod.yaml,custom,yes,high
SimFusion_4in,1,yolo26-Glod.yaml,custom,yes,high
TopBasicLayer,1,yolo26-Glod.yaml,custom,yes,high
GSConv,1,yolo26-GSConv.yaml,custom,yes,high
HorBlock,1,"yolo26-HorBlock,.yaml",custom,yes,high
Involution,1,yolo26-Involution.yaml,custom,yes,high
MDCR,1,yolo26-MDCR.yaml,custom,yes,high
MobileOneBlock,1,yolo26-Moblileone.yaml,custom,yes,high
MSFN,1,yolo26-MSFN.yaml,custom,yes,high
OREPA,1,yolo26-OREPA.yaml,custom,yes,high
PatchExpand,1,yolo26-PatchExpand.yaml,custom,yes,high
RepConv,1,yolo26-RepConv.yaml,custom,yes,high
RepLKNet_Stem,1,yolo26-RepLKNet.yaml,custom,yes,high
RepLKNet_stage1,1,yolo26-RepLKNet.yaml,custom,yes,high
RepLKNet_stage2,1,yolo26-RepLKNet.yaml,custom,yes,high
RepLKNet_stage3,1,yolo26-RepLKNet.yaml,custom,yes,high
RepLKNet_stage4,1,yolo26-RepLKNet.yaml,custom,yes,high
RepViTblock,1,yolo26-RepViT.yaml,custom,yes,high
SEAttention,1,yolo26-SEAttention.yaml,custom,yes,high
Conv_maxpool,1,yolo26-ShuffleNetV2.yaml,custom,yes,high
ShuffleNetV2,1,yolo26-ShuffleNetV2.yaml,custom,yes,high
SimAM,1,yolo26-SimA.yaml,custom,yes,high
VoVGSCSP,1,yolo26-slimneck.yaml,custom,yes,high
space_to_depth,1,yolo26-SPDConv.yaml,custom,yes,high
StokenAttention,1,yolo26-StokenAttention.yaml,custom,yes,high
SwinTransformer,1,yolo26-SwinTransformer.yaml,custom,yes,high
v10Detect,1,yolo26-v10D.yaml,custom,yes,high
vanillanetBlock,1,yolo26-vanillanet.yaml,custom,yes,high
LDConv,1,yolo26LDConv.yaml,custom,yes,high
