epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,142.492,1.8404,5.91495,0.01605,0.35176,0.26824,0.24261,0.12343,1.72754,2.72182,0.01881,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066
2,258.262,1.73043,3.29508,0.01508,0.49982,0.34533,0.31811,0.16275,1.80926,2.56085,0.02039,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812
3,350.427,1.79888,2.6515,0.01626,0.36573,0.32765,0.26226,0.11697,1.97239,2.86372,0.02258,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958
4,441.637,1.87503,2.61273,0.01708,0.37732,0.31929,0.2868,0.13162,1.96881,2.62181,0.02286,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,533.808,1.85594,2.47441,0.01665,0.42356,0.38617,0.36257,0.16697,1.89787,2.3454,0.02158,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,625.045,1.85958,2.38837,0.01651,0.41562,0.43564,0.39473,0.18348,1.88323,2.20112,0.02109,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,717.899,1.83252,2.32265,0.01636,0.4427,0.44921,0.42254,0.20411,1.83745,2.24213,0.02089,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,810.333,1.80721,2.26416,0.01592,0.50317,0.44795,0.45162,0.22494,1.83794,1.98464,0.02067,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,903.264,1.80818,2.21213,0.01596,0.47463,0.47643,0.45429,0.21995,1.83102,1.98771,0.02115,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,992.859,1.7854,2.18139,0.01567,0.50582,0.43928,0.44513,0.22468,1.83098,1.98161,0.02062,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1082.54,1.79019,2.13796,0.01548,0.50871,0.4911,0.48573,0.24117,1.7933,1.84285,0.01993,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1171.34,1.78555,2.09447,0.01562,0.48035,0.47819,0.45844,0.2283,1.81639,1.95931,0.02029,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1261.37,1.77389,2.08505,0.01539,0.49774,0.48307,0.47581,0.245,1.77438,1.84168,0.01983,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1353.29,1.76335,2.04464,0.01529,0.51344,0.49141,0.49942,0.2467,1.78997,1.83844,0.02009,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1442.8,1.75663,2.01326,0.01542,0.51043,0.48427,0.49496,0.25394,1.80057,1.94048,0.02008,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
