epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,145.883,1.89963,5.05685,0.01676,0.4482,0.42597,0.39596,0.19996,1.81581,2.17097,0.02042,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066
2,267.117,1.81095,2.2853,0.01588,0.51393,0.3757,0.37491,0.19111,1.91344,2.4499,0.02198,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812
3,362.762,1.86142,2.3269,0.01686,0.41076,0.37326,0.33274,0.14879,2.0165,2.45072,0.02353,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958
4,458.17,1.9242,2.40913,0.01769,0.41113,0.38819,0.35487,0.15066,2.02466,2.37186,0.02407,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,554.742,1.89032,2.29313,0.01691,0.4211,0.46971,0.42177,0.19603,1.86104,2.06335,0.02126,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,650.16,1.85845,2.24667,0.01645,0.41271,0.46383,0.40527,0.18862,1.86181,2.07579,0.02118,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,746.601,1.82846,2.15942,0.01641,0.43962,0.51524,0.46153,0.21803,1.85217,2.02002,0.02104,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,842.232,1.80764,2.102,0.01591,0.50717,0.48679,0.47193,0.23187,1.82339,1.90436,0.02027,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,938.591,1.79568,2.05948,0.01582,0.51325,0.5041,0.50019,0.24177,1.82648,1.82906,0.02066,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1034.6,1.78331,2.01253,0.01563,0.54088,0.49322,0.50282,0.25139,1.81452,1.78058,0.01987,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1130.07,1.77169,1.98613,0.01522,0.53237,0.52435,0.53494,0.26392,1.77361,1.73972,0.01944,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1225.43,1.75621,1.92289,0.01522,0.53177,0.54347,0.53556,0.2709,1.76979,1.71727,0.01897,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1321.64,1.74736,1.89038,0.01502,0.54944,0.51166,0.5203,0.26185,1.77067,1.74188,0.01931,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1417.8,1.73207,1.86213,0.01488,0.56966,0.555,0.5629,0.28298,1.76788,1.62752,0.019,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1514.16,1.72365,1.8306,0.01501,0.54892,0.54621,0.54484,0.27186,1.7865,1.70308,0.01962,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1609.63,1.70631,1.81215,0.01465,0.58975,0.54051,0.55892,0.28509,1.75668,1.6206,0.01894,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1705.41,1.71061,1.7872,0.01462,0.57047,0.55349,0.56216,0.29012,1.74722,1.62167,0.01879,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1801.11,1.70039,1.75507,0.01459,0.58178,0.56646,0.5775,0.30091,1.72348,1.58871,0.01858,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1896.87,1.68242,1.73025,0.01448,0.59799,0.57498,0.59217,0.3064,1.72732,1.56091,0.01856,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1991.59,1.68468,1.70326,0.01436,0.59802,0.55694,0.58098,0.30633,1.7385,1.61212,0.01868,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2086.85,1.67717,1.66203,0.014,0.61016,0.56847,0.60197,0.31576,1.73954,1.51921,0.01862,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2182.27,1.65226,1.6595,0.01411,0.61551,0.56254,0.58423,0.30378,1.72898,1.56205,0.01849,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2278.83,1.64906,1.64379,0.01387,0.61332,0.5701,0.59369,0.31468,1.71476,1.54756,0.0184,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2374.67,1.65908,1.60943,0.01398,0.5739,0.58646,0.59433,0.32118,1.73171,1.52897,0.01858,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2470.11,1.64501,1.59109,0.01372,0.6166,0.57368,0.60147,0.31958,1.7501,1.54256,0.01863,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2565.87,1.64601,1.5722,0.01381,0.6036,0.5881,0.60655,0.32206,1.73633,1.52867,0.01852,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2662.23,1.62293,1.55593,0.01347,0.64046,0.57953,0.61141,0.32223,1.72443,1.52662,0.01827,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2758.64,1.61975,1.51811,0.0135,0.62233,0.58308,0.61135,0.32921,1.7272,1.50495,0.01835,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,2854.8,1.6017,1.5017,0.01338,0.62452,0.59426,0.61827,0.33194,1.72671,1.49845,0.01843,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,2951.4,1.59949,1.47942,0.01326,0.63129,0.59289,0.62222,0.33436,1.7307,1.47214,0.01848,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,3047.78,1.59707,1.45693,0.01331,0.62988,0.58675,0.61672,0.33107,1.71099,1.48224,0.01827,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,3143.68,1.58971,1.44834,0.01332,0.63858,0.59557,0.61757,0.32561,1.7391,1.51713,0.01874,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3239.06,1.57491,1.42276,0.01303,0.62132,0.6043,0.61452,0.33127,1.72641,1.51191,0.01831,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3335.06,1.56871,1.41016,0.01306,0.63224,0.58186,0.61263,0.3289,1.74802,1.50994,0.0185,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3430.57,1.56455,1.38093,0.01289,0.62425,0.6105,0.6254,0.33826,1.73416,1.47577,0.01857,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3526.3,1.55518,1.37459,0.01281,0.61627,0.59802,0.61501,0.32654,1.74468,1.51785,0.01861,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3621.72,1.55403,1.34044,0.01277,0.62314,0.59356,0.61528,0.32674,1.74361,1.50158,0.0186,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3717.23,1.54345,1.3123,0.01265,0.64536,0.60472,0.63011,0.34055,1.7459,1.47143,0.01872,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3813.33,1.53383,1.30687,0.01265,0.65337,0.60687,0.63421,0.34295,1.75312,1.47958,0.01878,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3908.87,1.52572,1.30474,0.01246,0.65135,0.57918,0.61696,0.33284,1.73879,1.52857,0.01853,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4004.77,1.50683,1.26296,0.01235,0.63542,0.60516,0.62269,0.33695,1.7529,1.52983,0.01871,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4100.15,1.50568,1.25879,0.01219,0.63872,0.60027,0.62509,0.33697,1.75078,1.51848,0.0187,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4196.33,1.50449,1.25766,0.01223,0.6353,0.59254,0.61881,0.33363,1.75893,1.55484,0.01892,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4292.34,1.48483,1.21075,0.01202,0.6631,0.58771,0.62295,0.33626,1.74979,1.55368,0.0186,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4388.29,1.47927,1.19499,0.01211,0.64563,0.59956,0.62319,0.34047,1.7868,1.52841,0.01897,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4484.7,1.47485,1.18434,0.01203,0.66267,0.59724,0.62564,0.33777,1.77769,1.56934,0.01903,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4580.59,1.46775,1.15903,0.01185,0.65079,0.59435,0.61988,0.33631,1.77165,1.56625,0.01896,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4675.74,1.45935,1.15099,0.01177,0.65079,0.59339,0.6224,0.33666,1.76821,1.56099,0.01896,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4771.68,1.44607,1.12231,0.01162,0.63933,0.61338,0.62424,0.33887,1.78312,1.56952,0.01916,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4867.19,1.4357,1.12509,0.0114,0.66449,0.58972,0.62012,0.33766,1.77574,1.58575,0.019,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4962.46,1.43215,1.12307,0.01167,0.65228,0.60396,0.62897,0.34146,1.78709,1.57215,0.01917,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5057.6,1.42267,1.10317,0.0113,0.64799,0.62,0.62892,0.34126,1.78182,1.57956,0.019,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5153.42,1.40741,1.06988,0.0112,0.65388,0.60123,0.62642,0.34468,1.78753,1.56616,0.01902,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5248.21,1.40445,1.0689,0.01131,0.67709,0.59437,0.62801,0.34158,1.7942,1.58711,0.01912,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5343.66,1.39554,1.06021,0.01114,0.66447,0.59754,0.62889,0.34411,1.78604,1.59124,0.01904,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5439.1,1.39695,1.05417,0.01121,0.64598,0.61283,0.62551,0.34341,1.79026,1.58549,0.01909,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5535.63,1.37572,1.02705,0.01093,0.64721,0.60358,0.62668,0.34514,1.79605,1.60124,0.01933,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5630.37,1.37012,1.00631,0.01077,0.68343,0.58054,0.62564,0.34155,1.80972,1.61131,0.01941,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5726.36,1.36504,0.99962,0.01097,0.66233,0.60798,0.628,0.34126,1.81483,1.60128,0.01945,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5822.47,1.35153,0.97778,0.01062,0.65842,0.60421,0.62994,0.34345,1.81606,1.6061,0.01948,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5918.42,1.33929,0.97953,0.0106,0.65714,0.60658,0.6267,0.34251,1.80659,1.61794,0.01933,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6013.81,1.34405,0.96271,0.01059,0.66793,0.59988,0.62669,0.34392,1.82959,1.63409,0.01958,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6109.55,1.32362,0.95023,0.01036,0.66956,0.59495,0.62952,0.3469,1.82321,1.62956,0.01947,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6204.87,1.30923,0.93483,0.01022,0.66603,0.59935,0.62661,0.3434,1.81877,1.65245,0.01958,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6300.68,1.30389,0.93395,0.01025,0.65628,0.59986,0.62112,0.3423,1.83301,1.64925,0.0197,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6396.34,1.29826,0.91703,0.01011,0.65831,0.60295,0.62541,0.34428,1.83289,1.65454,0.01972,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
