epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,83.407,1.91394,3.59057,1.74488,0.52517,0.28156,0.26663,0.12304,2.00481,2.56413,1.90747,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066,0.00996198,0.00332066
2,149.266,1.83925,2.59185,1.65851,0.42586,0.3819,0.34831,0.16698,1.85678,2.31566,1.74475,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812,0.0197644,0.00658812
3,202.21,1.87117,2.45073,1.70023,0.43661,0.22937,0.22594,0.08976,2.1178,2.87323,1.97106,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958,0.0293687,0.00978958
4,255.089,1.91196,2.36529,1.751,0.40806,0.26718,0.24742,0.11787,2.15066,2.84274,2.07848,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,309.298,1.85698,2.18932,1.70821,0.48074,0.38122,0.37974,0.1801,1.92935,2.28412,1.83833,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,361.592,1.83203,2.12436,1.68943,0.43657,0.39974,0.38609,0.18548,1.85979,2.1069,1.78077,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,413.936,1.78209,2.04406,1.65268,0.472,0.45023,0.45438,0.223,1.79577,1.91208,1.70775,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,468.684,1.76816,1.98808,1.63443,0.49988,0.48353,0.48659,0.24957,1.76025,1.81402,1.6453,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,521.613,1.75416,1.94506,1.62353,0.54148,0.49848,0.49946,0.25007,1.75968,1.84698,1.67969,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,574.754,1.73505,1.90782,1.61013,0.51374,0.47975,0.48617,0.25062,1.74958,1.77025,1.65983,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,628.247,1.72208,1.87665,1.59321,0.54959,0.49708,0.5183,0.2636,1.72169,1.75352,1.60394,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,681.239,1.70479,1.83652,1.57815,0.54233,0.50765,0.51195,0.262,1.74328,1.72828,1.63067,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,732.807,1.69273,1.82666,1.57167,0.53124,0.51337,0.50978,0.26552,1.7283,1.73212,1.64231,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,786.782,1.68682,1.80053,1.56339,0.57133,0.52099,0.53884,0.27833,1.72937,1.65252,1.6158,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,838.723,1.66504,1.76912,1.55821,0.5299,0.52886,0.52402,0.27165,1.75013,1.71182,1.64414,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,891.685,1.65615,1.75531,1.54344,0.55087,0.51722,0.53337,0.27838,1.71492,1.67181,1.60959,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,944.827,1.6576,1.73564,1.54535,0.5675,0.5421,0.55864,0.29764,1.69599,1.61106,1.58496,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,998.525,1.64738,1.71008,1.53838,0.58916,0.53753,0.56461,0.29898,1.68008,1.59373,1.57337,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1051.53,1.64565,1.68712,1.53107,0.56373,0.55325,0.57185,0.29775,1.67947,1.57963,1.57553,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1103.6,1.62479,1.67975,1.51541,0.57783,0.56009,0.57535,0.30621,1.66459,1.57252,1.57301,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1157.56,1.62209,1.64634,1.50943,0.575,0.55783,0.57013,0.29604,1.69689,1.61512,1.58559,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1209.54,1.60647,1.63133,1.50273,0.56291,0.56073,0.56757,0.30413,1.68068,1.58355,1.5838,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1262.67,1.60749,1.62205,1.4986,0.58878,0.56545,0.5742,0.30633,1.66619,1.56826,1.56731,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1315.6,1.61106,1.62619,1.49834,0.60909,0.57371,0.59735,0.31436,1.6617,1.52522,1.55982,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1368.49,1.59659,1.60097,1.48783,0.61363,0.55959,0.58568,0.31293,1.65638,1.53768,1.54931,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1422.34,1.60036,1.59957,1.49217,0.60667,0.55126,0.58459,0.31088,1.67258,1.53022,1.55819,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1476.8,1.5851,1.57345,1.47655,0.60675,0.56707,0.5952,0.31727,1.67367,1.51073,1.56118,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1529.85,1.57916,1.56598,1.47397,0.59547,0.57085,0.5963,0.32076,1.65471,1.50615,1.54341,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1584.16,1.56828,1.54503,1.47026,0.60759,0.57738,0.60022,0.32374,1.64883,1.50076,1.54357,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1636.9,1.56667,1.53597,1.46665,0.61546,0.57404,0.60632,0.32811,1.65294,1.48506,1.5424,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1689.85,1.55971,1.52126,1.46373,0.60077,0.59347,0.61237,0.32897,1.64386,1.45717,1.54247,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1742.22,1.55263,1.53362,1.46401,0.62527,0.57807,0.61442,0.32685,1.65309,1.46667,1.53306,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1796.72,1.54988,1.50299,1.45161,0.61385,0.58664,0.61243,0.32432,1.64143,1.44315,1.52661,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1847.92,1.54231,1.49216,1.44614,0.61827,0.59072,0.61678,0.33029,1.64624,1.44608,1.53537,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1901.05,1.53841,1.48095,1.44189,0.60169,0.58283,0.605,0.32815,1.65523,1.4621,1.53477,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1953.68,1.53121,1.48239,1.44169,0.60731,0.59993,0.6257,0.33899,1.65085,1.42559,1.54032,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2007.69,1.53209,1.45771,1.43807,0.62435,0.60435,0.62787,0.33633,1.65392,1.4207,1.52941,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2060.02,1.51645,1.4485,1.42459,0.62897,0.59455,0.62273,0.33627,1.64565,1.42548,1.53317,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2113.46,1.51724,1.4513,1.42903,0.61769,0.59759,0.62656,0.33853,1.64095,1.42233,1.52728,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2166.12,1.5158,1.43784,1.42997,0.62413,0.59611,0.62806,0.33822,1.64674,1.42679,1.52608,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2218.77,1.50453,1.42778,1.41698,0.62151,0.59533,0.62416,0.33987,1.64237,1.41048,1.52707,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2271.16,1.51126,1.41463,1.42237,0.59971,0.60915,0.62338,0.33713,1.64828,1.41255,1.53927,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2325.19,1.50754,1.42133,1.42234,0.61812,0.59499,0.62213,0.33451,1.66875,1.42558,1.53628,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2377.46,1.49207,1.40325,1.4105,0.62239,0.60557,0.62761,0.3399,1.64968,1.40743,1.52851,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2429.5,1.49296,1.39056,1.41235,0.62852,0.6145,0.63716,0.34402,1.64983,1.39088,1.53362,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2483.06,1.49015,1.37835,1.40765,0.63274,0.60469,0.6346,0.34592,1.655,1.39294,1.52767,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2535.71,1.48396,1.36795,1.40268,0.63932,0.61017,0.63887,0.34409,1.65519,1.38294,1.52512,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2590.15,1.4743,1.3578,1.39432,0.6304,0.60372,0.63458,0.34262,1.64697,1.3762,1.5282,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2643.24,1.47218,1.35327,1.3931,0.64505,0.6033,0.63744,0.34571,1.65678,1.37727,1.53247,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2697.34,1.47278,1.34492,1.39467,0.63662,0.61061,0.63904,0.34578,1.66437,1.36396,1.53976,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2750.04,1.47053,1.3469,1.3963,0.64317,0.60596,0.63652,0.34743,1.65451,1.36795,1.537,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2802.56,1.46543,1.34758,1.385,0.62383,0.61653,0.63579,0.34557,1.65934,1.37218,1.53666,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2856.52,1.44871,1.32165,1.37734,0.63196,0.61162,0.63846,0.3493,1.65298,1.35902,1.53212,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2909.9,1.44658,1.30949,1.37739,0.62759,0.61557,0.64163,0.34835,1.65821,1.36284,1.52808,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2963.7,1.44435,1.30347,1.37118,0.63971,0.60768,0.63878,0.34851,1.66159,1.36913,1.5354,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3016.32,1.45031,1.30665,1.37761,0.64102,0.61438,0.64003,0.34848,1.66166,1.36401,1.53931,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3068.62,1.44022,1.29638,1.37347,0.64664,0.60897,0.64499,0.35047,1.65385,1.35619,1.53742,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3121.37,1.43539,1.28076,1.36607,0.66087,0.60392,0.64209,0.3468,1.66394,1.36316,1.53832,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3175.05,1.42961,1.27833,1.3643,0.64608,0.60583,0.64154,0.35266,1.66044,1.35724,1.53563,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3229.54,1.4256,1.26234,1.3575,0.64356,0.61219,0.6431,0.35205,1.66329,1.35807,1.53957,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3282.1,1.41264,1.25312,1.35198,0.64876,0.61215,0.64457,0.35258,1.66191,1.361,1.53377,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3334.73,1.41954,1.24993,1.35632,0.63147,0.6208,0.64578,0.35197,1.65932,1.3577,1.53475,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3387.02,1.40945,1.23979,1.34939,0.64865,0.60923,0.64499,0.35213,1.66973,1.3581,1.54156,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3440.05,1.40489,1.24088,1.34848,0.64431,0.61921,0.64635,0.35175,1.65842,1.35751,1.53681,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3492.58,1.40361,1.23417,1.34764,0.63466,0.62387,0.64448,0.35159,1.66077,1.35295,1.53744,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3544.99,1.40303,1.22617,1.34214,0.64006,0.61138,0.64162,0.35025,1.67024,1.35472,1.54284,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3597.69,1.39428,1.21171,1.33683,0.65631,0.60669,0.64663,0.35041,1.66848,1.35488,1.54055,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3649.26,1.38562,1.21102,1.33381,0.64115,0.60771,0.6421,0.34851,1.67088,1.36199,1.54411,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3703.66,1.38574,1.20711,1.3356,0.65632,0.60764,0.64226,0.34886,1.67116,1.35831,1.54589,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3756.47,1.37644,1.19271,1.33657,0.65404,0.6022,0.64137,0.35117,1.67177,1.35705,1.54639,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3808.19,1.37668,1.18921,1.32764,0.66229,0.6102,0.64147,0.35027,1.67381,1.36085,1.54915,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3860.75,1.36724,1.17823,1.32316,0.65197,0.61348,0.64385,0.35198,1.67296,1.35337,1.54905,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3912.55,1.36068,1.17546,1.31957,0.65709,0.61325,0.64513,0.35166,1.67798,1.35654,1.5517,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3964.6,1.37058,1.181,1.32678,0.66014,0.60976,0.64262,0.35005,1.68308,1.35645,1.5552,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4018.11,1.35488,1.15345,1.31474,0.64141,0.62435,0.6418,0.35179,1.68319,1.35301,1.55802,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4071.45,1.35057,1.14838,1.31239,0.6512,0.61356,0.64237,0.35229,1.68522,1.35602,1.55748,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4122.4,1.3412,1.14427,1.30488,0.6563,0.60683,0.64058,0.34968,1.69484,1.36032,1.56352,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4175.09,1.33833,1.12924,1.3013,0.62289,0.6333,0.6415,0.35004,1.69576,1.36149,1.56401,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4228.14,1.34171,1.12883,1.30285,0.64268,0.61925,0.64141,0.34856,1.69911,1.35621,1.56534,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4280.16,1.33453,1.12839,1.30323,0.63773,0.6239,0.64116,0.34691,1.70487,1.3568,1.57037,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4332.09,1.3321,1.12492,1.30059,0.65085,0.60929,0.64185,0.34898,1.70646,1.35612,1.57451,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,4384.96,1.33155,1.11744,1.29986,0.64105,0.62299,0.64543,0.34958,1.70368,1.35628,1.57467,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,4438.14,1.31794,1.10973,1.29183,0.64132,0.62007,0.64588,0.35114,1.70285,1.35752,1.57414,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,4490.48,1.32267,1.108,1.29262,0.64503,0.61503,0.64465,0.35204,1.70292,1.35661,1.57284,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
