Model,Class,P,R,mAP50,mAP50-95
YOLOv8n,D00,0.573,0.419,0.461,0.219
YOLOv8n,D10,0.563,0.352,0.411,0.167
YOLOv8n,D20,0.657,0.643,0.660,0.338
YOLOv8n,D40,0.610,0.556,0.587,0.268
YOLOv8n,D43,0.721,0.783,0.821,0.570
YOLOv8n,D44,0.631,0.718,0.722,0.448
YOLOv8n,D50,0.772,0.772,0.836,0.459
YOLO11n,D00,0.543,0.404,0.447,0.202
YOLO11n,D10,0.543,0.382,0.405,0.158
YOLO11n,D20,0.653,0.646,0.665,0.342
YOLO11n,D40,0.628,0.572,0.600,0.276
YOLO11n,D43,0.692,0.781,0.804,0.562
YOLO11n,D44,0.650,0.741,0.737,0.457
YOLO11n,D50,0.763,0.786,0.836,0.446
YOLO26n,D00,0.518,0.387,0.388,0.183
YOLO26n,D10,0.485,0.363,0.368,0.148
YOLO26n,D20,0.670,0.639,0.659,0.346
YOLO26n,D40,0.662,0.562,0.598,0.278
YOLO26n,D43,0.718,0.754,0.791,0.541
YOLO26n,D44,0.690,0.692,0.725,0.454
YOLO26n,D50,0.767,0.783,0.831,0.435
YOLO26s,D00,0.513,0.406,0.392,0.173
YOLO26s,D10,0.570,0.355,0.382,0.150
YOLO26s,D20,0.704,0.618,0.666,0.338
YOLO26s,D40,0.707,0.569,0.628,0.289
YOLO26s,D43,0.764,0.754,0.808,0.584
YOLO26s,D44,0.706,0.647,0.692,0.439
YOLO26s,D50,0.780,0.789,0.839,0.454
