epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,139.011,2.04879,7.17084,0.0185,0.00339,0.26865,0.01243,0.00565,1.80105,4.87474,0.0198,0.000905544,0.000301848,0.000905544,0.000301848,0.000905544,0.000301848,0.000905544,0.000301848
2,247.843,1.73924,6.19026,0.01503,0.71921,0.10953,0.11535,0.06015,1.62599,3.50006,0.01729,0.00175466,0.000584888,0.00175466,0.000584888,0.00175466,0.000584888,0.00175466,0.000584888
3,333.715,1.67473,5.11375,0.01427,0.44448,0.26152,0.21743,0.1176,1.60611,2.69847,0.01696,0.00254379,0.00084793,0.00254379,0.00084793,0.00254379,0.00084793,0.00254379,0.00084793
4,419.275,1.65205,3.94369,0.01415,0.42409,0.33765,0.31206,0.17417,1.59497,2.36835,0.01685,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009,0.00245703,0.000819009
5,505.027,1.65009,3.23723,0.01415,0.44748,0.37581,0.36648,0.20652,1.59778,2.25254,0.0168,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012,0.00236704,0.000789012
6,589.465,1.63564,2.88634,0.01387,0.44105,0.41004,0.39694,0.22378,1.59092,2.13313,0.0167,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015,0.00227705,0.000759015
7,674.254,1.63535,2.67044,0.01415,0.44708,0.44081,0.41177,0.22662,1.61667,2.05193,0.01732,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018,0.00218705,0.000729018
8,759.327,1.62395,2.5294,0.01382,0.50189,0.44019,0.44212,0.24226,1.60501,2.01378,0.01686,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021,0.00209706,0.000699021
9,845.028,1.63666,2.42347,0.01392,0.49565,0.46386,0.46032,0.2505,1.59652,1.95034,0.01659,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024,0.00200707,0.000669024
10,929.23,1.63194,2.34239,0.01388,0.51785,0.47788,0.48416,0.26611,1.59794,1.91611,0.01676,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027,0.00191708,0.000639027
11,1014.21,1.63322,2.2777,0.01384,0.52642,0.4819,0.49414,0.26734,1.60652,1.89682,0.01693,0.00182709,0.00060903,0.00182709,0.00060903,0.00182709,0.00060903,0.00182709,0.00060903
12,1098.47,1.62821,2.2117,0.01385,0.52121,0.52314,0.50612,0.2774,1.62988,1.82909,0.01722,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033,0.0017371,0.000579033
13,1188.08,1.6313,2.20161,0.01387,0.55239,0.50343,0.51441,0.28437,1.61208,1.80597,0.01689,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036,0.00164711,0.000549036
14,1272.14,1.62675,2.14885,0.01377,0.55889,0.50317,0.51978,0.28614,1.62356,1.7876,0.01716,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039,0.00155712,0.000519039
15,1357.6,1.63218,2.10534,0.01377,0.54173,0.52649,0.52929,0.28927,1.62734,1.7488,0.01704,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042,0.00146713,0.000489042
16,1442.26,1.61297,2.07086,0.01365,0.55526,0.51807,0.53085,0.29423,1.6092,1.75603,0.01676,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045,0.00137713,0.000459045
17,1527.65,1.63148,2.08612,0.01385,0.55444,0.52383,0.53297,0.29444,1.62436,1.71137,0.01693,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048,0.00128714,0.000429048
18,1613.37,1.62729,2.04215,0.01381,0.54606,0.53789,0.54756,0.30078,1.63111,1.70527,0.0171,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051,0.00119715,0.000399051
19,1698.92,1.6164,2.0278,0.01369,0.56682,0.53206,0.54534,0.30185,1.61325,1.7153,0.01681,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054,0.00110716,0.000369054
20,1782.36,1.61469,2.00435,0.01358,0.57883,0.52847,0.55394,0.30817,1.61314,1.68912,0.0168,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057,0.00101717,0.000339057
21,1869.79,1.64031,1.88188,0.01628,0.55297,0.52797,0.54359,0.30041,1.62519,1.67812,0.01704,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906,0.00092718,0.00030906
22,1953.84,1.62259,1.8297,0.01598,0.56052,0.53578,0.55128,0.30453,1.63618,1.65873,0.01709,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063,0.000837189,0.000279063
23,2036.86,1.61798,1.80423,0.01588,0.56913,0.54685,0.55865,0.30684,1.62552,1.65595,0.01692,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066,0.000747198,0.000249066
24,2120.98,1.61769,1.8041,0.0159,0.57036,0.54929,0.56188,0.30972,1.62921,1.64104,0.01695,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069,0.000657207,0.000219069
25,2207.13,1.61423,1.76932,0.01575,0.56621,0.54865,0.56297,0.31162,1.61713,1.63667,0.0168,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
26,2291.08,1.60326,1.7637,0.01564,0.57691,0.5457,0.56568,0.31377,1.61595,1.64627,0.01683,0.000477225,0.000159075,0.000477225,0.000159075,0.000477225,0.000159075,0.000477225,0.000159075
27,2375.56,1.59702,1.75589,0.01558,0.58439,0.54647,0.56704,0.31512,1.6233,1.6251,0.01686,0.000387234,0.000129078,0.000387234,0.000129078,0.000387234,0.000129078,0.000387234,0.000129078
28,2459.36,1.5976,1.73866,0.01563,0.57795,0.55085,0.56729,0.31572,1.62036,1.62648,0.01679,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
29,2544.45,1.59408,1.7405,0.01549,0.57947,0.54925,0.56789,0.31663,1.61882,1.6203,0.01678,0.000207252,6.9084e-05,0.000207252,6.9084e-05,0.000207252,6.9084e-05,0.000207252,6.9084e-05
30,2628.44,1.59282,1.72063,0.01556,0.58355,0.55041,0.57152,0.31808,1.61919,1.61378,0.0168,0.000117261,3.9087e-05,0.000117261,3.9087e-05,0.000117261,3.9087e-05,0.000117261,3.9087e-05
